name;pattern;order;BLZ;BIC
comdirect bank;.*?Finanzreport_Nr\._(\d{2})_per_(\d{2})\.(\d{2})\.(\d{4}).*?\.pdf;{nummer},{tag},{monat},{jahr};;COBADEHD
Consorsbank;.*?KONTOAUSZUG_.*?KONTO_{konto}_dat(\d{4})(\d{2})(\d{2})_id.*?\.pdf;{jahr},{monat},{tag};76030080,70120400;
DKB;Kontoauszug_{konto}_Nr_(\d{4})_(\d{3})_per_(\d{4})_(\d{2})_(\d{2})\.pdf;{nummerJahr},{nummer},{jahr},{monat_sold},{tag};12030000;BYLADEM1001
DKB - Kreditkarten;Kreditkartenabrechnung_{kennung_l4}x{8}{kennung_r4}_per_(\d{4})_(\d{2})_(\d{2})\.pdf;{jahr},{monat_sdom22},{tag};12030000;BYLADEM1001
DKB - Abruf über Plugin DocManager;Kontoauszug Nr\. (\d{3})_(\d{4}) zu Konto {konto}\.pdf;{nummer},{nummerJahr};12030000;BYLADEM1001
Fidorbank;.*?Kontoauszug_(\d{2})_(\d{4})\.pdf;{monat_eolwd},{jahr};70022200;
Genossenschaftsbanken/Volksbanken/Raiffeisenbanken;{konto}_(\d{4})_Nr\.(\d{3})_Kontoauszug_vom_\d{2}\.(\d{2})\.(\d{4}).*?\.pdf;{nummerJahr},{nummer},{monat},{jahr};;GENODE,VO,VB,ULMVDE66,BEVODEBB,FFVBDEFF,WIBADE5W,DGPBDE3M,MVBMDE55,SABADE5S,ERFBDE8E
Genossenschaftsbanken/Volksbanken/Raiffeisenbanken - Kreditkarten;x.*?HIER-LETZTE-3-ZIFFERN-DER-KREDITKARTENNUMMER-EINTRAGEN_ *?(\d{4})_Kreditkarten-Umsatzaufstellung_vom_(\d{2})\.(\d{2})\.(\d{4})_.*?\.pdf;{nummerJahr},{tag},{monat},{jahr};;
ING;.*?_{konto}_Kontoauszug_(\d{4})(\d{2})\d{2}\.pdf;{jahr},{monat_-1|eolwd};;INGDDEFF
MoneYou;.*?DE\d{2}50324040{konto}_\d{6}_(\d{4})(\d{2})(\d{2})\.pdf;{jahr},{monat},{tag};50324040;
norisbank;Kontoauszug_\d{3}{konto}_(\d{4})-(\d{2})-(\d{2}).*?\.pdf;{jahr},{monat},{tag};76026000,10077777;
Paypal;MSR-(\d{4})(\d{2})\.PDF;{jahr},{monat};50110800;CHASDEF
Rabodirect;.*?Kontoauszug_(\d{4})(\d{2})_DE\d{2}50210212{konto}\.pdf;{jahr},{monat};50210212;
Sparkassen - monatlich;Konto_{konto}-Auszug_(\d{4})_(\d{3})\.pdf;{jahr},{monat};;WELADE,BYLADE,HELADE,BRLADE,MALADE,NOLADE,SOLADE,BELADE,BILADE,WUPSDE33,KARSDE66,COKSDE33,COLSDE33,SPKRDE33,SKLODE66,LUHSDE6A,MANSDE66,MERZDE55,MGLSDE33,SPMHDE3E,SSKMDEMM,SALADE51NKS,SSKNDE77,SLZODE22,PZHSDE66,SAKSDE55,KRSADE55,SOLSDE33,SPSHDE31,TRISDE55,SKHRDE6W,NASSDE55,FRSPDE66,SKGIDE5F,GOPSDE6G,HASPDEHH,SPKHDE2H,HEISDE66,WLAHDE44,SALADE51HOM,SPESDE3E,ESSLDE66,DORTDE33,OSDDDE81,DUISDE33,SDUEDE33,DUSSDEDD,CHEKDE81,BRUSDE66,SBREDE22,BBKRDE6B,SBCRDE66,SPBIDE3B,AUGSDE77,AACSDE33,OASPDE6A
Sparkassen - nicht monatlich;Konto_{konto}-Auszug_(\d{4})_(\d{3})\.pdf;{nummerJahr},{nummer};;
